p(success by chance only),generation,z-score,Actual success rate,p(true)
0.501682,0,31.07385453284485,0.993,0.529
0.50405,1,30.67193723537874,0.989,0.545
0.504232,2,31.229748972771077,0.998,0.546
0.504232,3,30.407527328909943,0.985,0.546
0.500098,4,30.920878046161047,0.989,0.507
0.501568,5,31.144287399602156,0.994,0.528
0.5058320000000001,6,30.68680608061971,0.991,0.554
0.5018,7,30.876679155413246,0.99,0.53
0.500512,8,31.08444675002342,0.992,0.516
0.503698,9,30.94702209877015,0.993,0.543
0.506498,10,30.898188631616218,0.995,0.557
0.502048,11,30.92429914280423,0.991,0.532
0.502888,12,30.744935222043015,0.989,0.538
0.500008,13,31.369288428459964,0.996,0.502
0.502888,14,31.124414871449442,0.995,0.538
0.504232,15,31.229748972771077,0.998,0.546
0.505618,16,31.07968835562511,0.997,0.553
0.503872,17,30.93609857290284,0.993,0.544
0.501152,18,31.233772859416483,0.995,0.524
0.500882,19,28.278269253906192,0.948,0.521
0.500968,20,27.64038240702605,0.938,0.522
0.500392,21,28.43571542375259,0.95,0.486
0.500002,22,27.51168915257859,0.935,0.499
0.502888,23,26.823645511509913,0.927,0.462
0.500002,24,26.62625140772436,0.921,0.499
0.500392,25,27.929750842628543,0.942,0.486
0.5002,26,26.234257567497565,0.915,0.49
0.5060499999999999,27,27.57391754153107,0.942,0.445
0.500098,28,26.55693479130606,0.92,0.507
0.500098,29,26.49368923688787,0.919,0.493
0.507938,30,26.443895230525342,0.926,0.437
0.5033619999999999,31,25.339144769702045,0.904,0.459
0.509248,32,24.2115037360707,0.892,0.432
0.5032000000000001,33,24.843362095548635,0.896,0.46
0.500882,34,25.874934492951734,0.91,0.479
0.500578,35,26.210366162579795,0.915,0.483
0.5060499999999999,36,25.613161849852062,0.911,0.445
0.50845,37,25.083606443018404,0.905,0.435
0.5054080000000001,38,25.21064623008212,0.904,0.448
0.5052019999999999,39,25.09706735038945,0.902,0.449
