z-score,p(true),Actual success rate,p(success by chance only),generation
29.73930418610896,0.549,0.975,0.504802,0
30.59554591015001,0.511,0.984,0.500242,1
31.003009864168813,0.52,0.991,0.5008,2
30.34762135088349,0.491,0.98,0.500162,3
30.10210005402567,0.532,0.978,0.502048,4
30.592638106059315,0.512,0.984,0.500288,5
29.816124251407796,0.528,0.973,0.501568,6
29.190603221519435,0.527,0.963,0.501458,7
29.607902129372803,0.544,0.972,0.503872,8
29.10564083943388,0.52,0.961,0.5008,9
29.32378145394576,0.526,0.965,0.501352,10
29.28256464228705,0.499,0.963,0.500002,11
28.136176666654794,0.492,0.945,0.500128,12
27.318471900465422,0.477,0.933,0.501058,13
26.29990573341146,0.509,0.916,0.500162,14
26.024799841041162,0.484,0.912,0.500512,15
27.018675410062556,0.47,0.929,0.5018,16
26.601593817177918,0.486,0.921,0.500392,17
27.4197202028504,0.473,0.935,0.501458,18
27.96721942459292,0.52,0.943,0.5008,19
27.508208984845723,0.477,0.936,0.501058,20
26.899624402526484,0.471,0.927,0.501682,21
26.30733502889385,0.468,0.918,0.502048,22
26.81560859723463,0.498,0.924,0.500008,23
27.869128412326358,0.474,0.942,0.501352,24
25.26242202902713,0.472,0.901,0.501568,25
26.54083744644349,0.459,0.923,0.5033619999999999,26
27.799195135422337,0.473,0.941,0.501458,27
25.66630813828028,0.449,0.911,0.5052019999999999,28
26.22149157825305,0.453,0.919,0.5044179999999999,29
26.91338225663348,0.443,0.932,0.5064979999999999,30
25.37428037106062,0.47,0.903,0.5018,31
25.273066316751773,0.439,0.907,0.507442,32
24.324050909464752,0.453,0.889,0.5044179999999999,33
24.325156688844086,0.448,0.89,0.5054080000000001,34
24.628655317508596,0.464,0.892,0.502592,35
25.462515310737732,0.453,0.907,0.5044179999999999,36
26.175029268733272,0.436,0.922,0.508192,37
23.30891950729223,0.424,0.88,0.511552,38
24.94126286878893,0.411,0.91,0.5158419999999999,39
