Actual success rate,generation,p(success by chance only),z-score,p(true)
0.884,0,0.7782579999999999,8.049367268287714,0.127
0.841,1,0.7298419999999999,7.916211373359796,0.161
0.797,2,0.6728720000000001,8.366516471926861,0.206
0.803,3,0.6457999999999999,10.393916963325402,0.23
0.77,4,0.598568,11.059338464520375,0.278
0.771,5,0.614242,10.18362711511655,0.261
0.777,6,0.5744980000000001,12.951922987403487,0.307
0.75,7,0.5873620000000002,10.446829148409906,0.291
0.758,8,0.5721999999999999,11.87548602184631,0.31
0.751,9,0.5605519999999999,12.134299691772274,0.326
0.713,10,0.52645,11.815001140524753,0.385
0.74,11,0.551842,11.964642759357304,0.339
0.719,12,0.529282,12.01944937204451,0.379
0.739,13,0.542632,12.46479465613132,0.354
0.69,14,0.540898,9.461743898509795,0.357
0.718,15,0.533282,11.70855983778024,0.371
0.731,16,0.517672,13.50048239892,0.406
0.719,17,0.521218,12.520110279012693,0.397
0.728,18,0.5128,13.614905112656281,0.42
0.687,19,0.5134480000000001,10.980364537456024,0.418
0.682,20,0.5040499999999999,11.254915416095782,0.455
0.699,21,0.519208,11.379444431593091,0.402
0.717,22,0.5046080000000001,13.433420029538127,0.452
0.704,23,0.506272,12.50640073568932,0.444
0.697,24,0.5050000000000001,12.143753417897916,0.45
0.707,25,0.5033619999999999,12.879489121382862,0.459
0.709,26,0.507442,12.749059462385572,0.439
0.681,27,0.50245,11.29262909328731,0.465
0.7,28,0.503528,12.426289667509183,0.458
0.666,29,0.501458,10.406594059208592,0.473
0.679,30,0.501352,11.235487110330586,0.474
0.676,31,0.500512,11.098841459543491,0.484
0.667,32,0.502178,10.42435747027009,0.467
0.686,33,0.500098,11.75747505745002,0.493
0.655,34,0.50245,9.64822496880974,0.465
0.677,35,0.500128,11.186367852740936,0.492
0.666,36,0.500072,10.494208260732332,0.506
0.612,37,0.5002,7.070853413804793,0.49
0.658,38,0.500648,9.95182264528008,0.482
0.659,39,0.500162,10.045797707000347,0.491
