generation,p(true),Actual success rate,p(success by chance only),z-score
0,0.122,0.872,0.785768,6.646287421340307
1,0.151,0.861,0.7436019999999999,8.50223504907614
2,0.178,0.812,0.7073680000000001,7.272452852473144
3,0.216,0.832,0.6613120000000001,11.405120633742328
4,0.263,0.797,0.612338,11.985476734601074
5,0.246,0.791,0.629032,10.602899025351215
6,0.281,0.778,0.5959220000000001,11.733569820168675
7,0.291,0.754,0.5873620000000002,10.703763669208486
8,0.301,0.777,0.5792020000000001,12.669808072995664
9,0.327,0.749,0.5598580000000001,12.049045004621744
10,0.349,0.739,0.545602,12.282755196574247
11,0.357,0.747,0.540898,13.078861054651618
12,0.366,0.708,0.535912,10.911982904417913
13,0.356,0.711,0.5414720000000001,10.758965281702885
14,0.371,0.704,0.533282,10.821153966512018
15,0.376,0.705,0.530752,11.04131416247853
16,0.398,0.729,0.5208079999999999,13.178635140678667
17,0.42,0.701,0.5128,11.906715344804425
18,0.406,0.711,0.517672,12.234780531474563
19,0.437,0.712,0.507938,12.907640848801044
20,0.414,0.712,0.5147920000000001,12.477990701604499
21,0.463,0.688,0.5027379999999999,11.717173357834016
22,0.466,0.688,0.5023120000000001,11.744065836041747
23,0.473,0.71,0.501458,13.18941023140279
24,0.466,0.669,0.5023120000000001,10.542387478340693
25,0.501,0.695,0.500002,12.332756383648938
26,0.514,0.681,0.500392,11.422656383456497
27,0.498,0.66,0.500008,10.118782549408392
28,0.51,0.655,0.5002,9.790412419114329
29,0.495,0.661,0.50005,10.179371838978872
30,0.515,0.675,0.50045,11.039515782652613
31,0.514,0.685,0.500392,11.67563867401852
32,0.49,0.679,0.5002,11.308305817426627
33,0.495,0.662,0.50005,10.242617392498467
34,0.52,0.644,0.5008,9.056774811401416
35,0.497,0.632,0.500018,8.347274608295896
36,0.517,0.665,0.500578,10.39896729706361
37,0.495,0.655,0.50005,9.7998985178613
38,0.527,0.714,0.501458,13.442393519784082
39,0.518,0.648,0.500648,9.31936658210452
