Actual success rate,p(true),z-score,generation,p(success by chance only)
0.835,0.158,7.232768155518591,0,0.7339279999999999
0.801,0.176,6.344844447782025,1,0.7099520000000001
0.805,0.219,9.803878920115016,2,0.6579220000000001
0.785,0.264,11.262997550173981,3,0.6113919999999999
0.746,0.296,10.440016188497692,4,0.583232
0.751,0.305,11.195062861635313,5,0.5760500000000001
0.695,0.333,8.860478192028918,6,0.5557780000000001
0.73,0.324,10.71082408811204,7,0.5619519999999999
0.724,0.333,10.706119452525384,8,0.5557780000000001
0.734,0.353,12.111441345678434,9,0.543218
0.728,0.358,11.908216459277222,10,0.540328
0.708,0.374,11.169446851330168,11,0.531752
0.691,0.402,10.87310624383866,12,0.519208
0.686,0.387,10.161771414151088,13,0.525538
0.67,0.406,9.64009170321142,14,0.517672
0.682,0.419,10.684462616299616,15,0.513122
0.69,0.436,11.500091156502194,16,0.508192
0.677,0.458,10.971605731107502,17,0.503528
0.678,0.431,10.65741707155165,18,0.5095219999999999
0.684,0.436,11.120566894978976,19,0.508192
0.699,0.37,10.472120325901342,20,0.5338
0.683,0.408,10.509340292448705,21,0.516928
0.683,0.446,11.205850467654981,22,0.5058320000000001
0.706,0.442,12.604209013445493,23,0.5067280000000001
0.703,0.431,12.238842698569963,24,0.5095219999999999
0.692,0.469,12.021677080287722,25,0.501922
0.662,0.472,10.146660485291314,26,0.501568
0.672,0.469,10.756756670741353,27,0.501922
0.689,0.455,11.697648812626664,28,0.5040499999999999
0.64,0.503,8.853239034250702,29,0.500018
0.69,0.492,12.008560071326311,30,0.500128
0.667,0.476,10.489176348164829,31,0.501152
0.661,0.468,10.053091504579216,32,0.502048
0.673,0.451,10.638266188914363,33,0.504802
0.665,0.485,10.407059994474292,34,0.50045
0.661,0.451,9.87928454664173,35,0.504802
0.669,0.492,10.680403410534552,36,0.500128
0.666,0.51,10.486113560007466,37,0.5002
0.648,0.471,9.254015215271563,38,0.501682
0.677,0.496,11.192439082215667,39,0.500032
